original_language;popularity;title;vote_average;vote_count;price
en;12,054356;The Time Machine;7,5;217;7,99
en;3,392467;Detour;7,3;64;6,99
en;12,158424;Billy Elliot;7,4;774;6,99
en;1,039367;One Day in September;7,3;14;6,99
en;9,420183;Planes, Trains and Automobiles;7,1;567;6,99
en;6,759181;The Transformers: The Movie;7,1;134;6,99
en;14,014025;Snatch;7,7;2953;7,99
en;12,297375;The Emperor's New Groove;7,2;1544;6,99
en;21,296343;Cast Away;7,5;3304;7,99
en;12,434175;O Brother, Where Art Thou?;7,3;1144;6,99
en;8,799169;The Man in the Moon;7,1;56;6,99
en;3,029275;Coffy;7,2;58;6,99
en;15,170192;Barfly;7,3;80;6,99
