original_language;popularity;title;vote_average;vote_count;price
en;19,470959;The Empire Strikes Back;8,2;5998;7,99
en;15,15267;The Princess Bride;7,6;1518;7,99
en;19,901576;Raiders of the Lost Ark;7,7;3949;7,99
en;9,837287;Brazil;7,6;877;7,99
en;21,761179;Aliens;7,7;3282;7,99
en;14,316459;Withnail & I;7,4;173;6,99
en;16,503959;12 Angry Men;8,2;2130;7,99
en;17,112594;A Clockwork Orange;8;3432;7,99
en;13,5963;Apocalypse Now;8;2112;7,99
en;14,586087;Return of the Jedi;7,9;4763;7,99
en;8,513889;The Third Man;7,9;431;7,99
en;15,424092;GoodFellas;8,2;3211;7,99
en;23,37742;Alien;7,9;4564;7,99
en;10,704612;Army of Darkness;7,3;852;6,99
en;36,826309;Psycho;8,3;2405;7,99
en;10,076901;The Blues Brothers;7,5;1092;7,99
en;36,629307;The Godfather: Part II;8,3;3418;7,99
en;13,94148;Full Metal Jacket;7,9;2595;7,99
en;7,307967;Henry V;7,4;73;6,99
en;12,677592;Amadeus;7,8;1107;7,99
en;8,762386;The Quiet Man;7,3;118;6,99
en;32,182851;Once Upon a Time in America;8,3;1104;7,99
en;18,146043;Annie Hall;7,8;1044;7,99
en;14,902397;The Right Stuff;7,4;241;6,99
en;12,016821;The Sting;7,9;639;7,99
en;10,878112;Harold and Maude;7,7;266;7,99
en;19,293562;The Terminator;7,4;4208;6,99
en;13,645568;Braindead;7,4;388;6,99
en;7,521346;Glory;7,4;391;6,99
en;12,050759;Manhattan;7,8;600;7,99
en;7,495853;Miller's Crossing;7,5;431;7,99
en;19,905716;Dead Poets Society;8,1;2786;7,99
en;12,057829;The Graduate;7,6;855;7,99
en;9,665347;Touch of Evil;7,6;292;7,99
en;8,851646;The Bridge on the River Kwai;7,7;554;7,99
en;12,29227;Chinatown;7,9;939;7,99
en;9,360003;The Day the Earth Stood Still;7,3;323;6,99
en;8,070589;The Treasure of the Sierra Madre;7,9;285;7,99
en;6,819957;Duck Soup;7,6;170;7,99
en;19,611589;The Shining;8,1;3890;7,99
en;15,206957;Stand by Me;7,8;1568;7,99
en;13,520764;Evil Dead II;7,5;760;7,99
en;14,384114;The Great Escape;7,8;731;7,99
en;7,729445;The Deer Hunter;7,8;943;7,99
en;12,989627;Groundhog Day;7,4;2358;6,99
en;10,942149;Unforgiven;7,7;1133;7,99
en;7,991677;The Manchurian Candidate;7,7;188;7,99
en;13,99011;Arsenic and Old Lace;7,4;234;6,99
en;25,778509;Back to the Future;8;6239;7,99
en;6,584254;Fried Green Tomatoes;7,6;298;7,99
